nombre,categoria,precio,stock,descripcion
Set de dilatadores progresivos,Dilatadores,520,8,Set de silicona médica, 5 tallas progresivas.
Lubricante base agua 100ml,Lubricantes,180,24,Fórmula suave, compatible con látex.
Lubricante base silicón 60ml,Lubricantes,260,16,Efecto duradero, ideal para uso en agua.
Anillo vibrador recargable,Anillos,380,12,Silicona, USB, 10 intensidades.
Plug mediano silicona,Plugs,340,15,Base segura, silicona médica hipoalergénica.
Boxer Zuppo edición discreta,Ropa interior,290,20,Algodón premium, corte moderno.
Masturbador de manga texturizada,Masturbadores,610,9,Textura interna, fácil limpieza.
Vibrador punto G,Juguetes,590,11,Silicona suave, sumergible, silencioso.
Bala vibradora mini,Juguetes,260,18,Compacta, discreta, resistente al agua.
Dildo realista mediano,Dildos,450,14,Base ventosa, silicona médica.
